414821420890930, 384401958421493, 341165161152294 @ -270, -234, -125
299988158973189, 206742497022844, 209914000693689 @ -72, 204, 72
291572026635042, 204660605873737, 102525985252150 @ -44, 145, 279
296930849713999, 287837668767773, 302348871146012 @ -50, -5, -43
212744973399902, 318514520428793, 323267608499946 @ 47, 31, -57
206796081478294, 355895853382033, 363059102378562 @ 99, -113, -143
235201333592554, 283023830011968, 311312654155078 @ 43, 26, -53
157361217764290, 176214452759749, 306807329964050 @ 220, 168, -58
73615528336196, 219468111852129, 51386824593320 @ 309, 119, 365
197475897975389, 359904693442353, 269597851307657 @ 68, -25, 12
260713779715176, 195636703159321, 308084692743646 @ 100, 19, -105
310827602414168, 176689525881180, 261077754237218 @ -55, 82, 39
230663911436848, 216514582836865, 288187242562630 @ 72, 103, -21
273413021670434, 117677212758198, 332902661158577 @ 27, 270, -140
245137174748450, 24630799806363, 350644426189814 @ 149, 546, -237
304606163331134, 130864096610727, 278000829604058 @ 183, -108, -95
406466083111662, 308598234435993, 232436617502374 @ -209, 26, 63
256417345522652, 380031524898789, 242634051929838 @ -28, 29, 39
311095169884002, 376505286189301, 155382570326034 @ -80, -32, 154
261690728078214, 215971480650953, 476121667043502 @ 48, 46, -462
196289247181509, 245725710181193, 270369299931782 @ 66, 127, 11
189651990940654, 334074834853793, 257472156612134 @ 123, -69, 32
71898010551246, 245090708552712, 99396786646740 @ 255, 110, 249
306861200731124, 119442226206543, 266670878852462 @ 116, 88, 55
110737258321423, 163146345364483, 224384576660159 @ 280, 201, 92
326402406727747, 234737862479640, 211653738688213 @ -104, -262, 262
341095671089005, 313664268695154, 201046932020310 @ -146, -328, 219
211503138841117, 158670811036869, 153350017936296 @ 114, 203, 229
318758653773429, 111812356691043, 270200899917317 @ 10, 113, 14
300268584050259, 96130842075958, 243963079131680 @ 198, 366, 329
239092901899844, 322515431432173, 229857725029252 @ 32, -23, 72
209901801517294, 258634744964593, 284727189861622 @ 55, 102, -8
240450769020431, 248397214800814, 297876044534880 @ 44, 64, -35
320343587321340, 431494099494235, 328650516025212 @ -86, -512, -134
378694830775438, 509521465657793, 353873676426374 @ -159, -159, -85
198025538440674, 365040096411205, 216957703014603 @ 43, 19, 70
188283286708064, 158501942006073, 247354749842912 @ 158, 203, 54
212829508207790, 166711147869921, 253148467201286 @ 20, 242, 29
234803655467846, 445549473440997, 297024489706054 @ 11, -103, -21
290403216667900, 274478050373782, 257694900809117 @ 25, -306, 56
218191613481791, 306182437467698, 353956207754702 @ 56, 16, -109
335871788019278, 432978395379001, 417535288520030 @ -109, -48, -148
327259936273112, 440851710634047, 335239698176330 @ -100, -98, -67
