Card   1: 17 15  5 75 36 13 16 66 92 39 | 13 92 16  5 87 78 15 94 21 48 30 62 70 41  3 39 22 17 77 58 75 52 83 34 24
Card   2: 72 64 18  5 58 94 25 59 75 51 | 34 17 48 75 25  8  2 94 64 29 33 92 73 12 51 38 27  4  1 60 31 85 59 18  5
Card   3: 71 16 97  6 68 38 82 93 33 24 | 31 75  7 99 10 70 79 61  5 80  1 33 58 30 22 48 73 72 50 16 56  4 98 43  3
Card   4: 68 80 44 96 43 20 11 18 85 48 | 96 99 38 29 36 28 77 68 47 70 98 80 63 65 11 12 43  3 54 92 18 90 58 16 51
Card   5: 27 61 28 60 50 59 43 96 85  9 |  3 45 14 55 39  6 93 82 96 31 70 22  8 98 88 46 72  9 79 28 23 81 87 15 30
Card   6: 32 69 24 83 40 39 19 42 17 11 | 68 26 28 71 22 50 64 20 53 82  7 36 58 78 73 51  6 48 97 30 99 61 84 34  5
Card   7: 99 14 25 95 31 62  1 65 59 30 |  8  9 58 73  6  2 44 11 43  4 34 70 78 90 16 24 23 39 30 69 74 59 91 84 42
Card   8: 88 48 85 67 73 33 96 57 47 86 | 35 17 85 97 46 50 77 23  4 31 76 34 12 59 14 42 72 64 44 96 90 65 73 69 88
Card   9: 99 17 38 77 73 71 59 86 11 97 | 60 14 19  4  6 78 51 48 87 36 88 66 30 13 94 45 97 69 62 40 47 32  7 77 57
Card  10: 82 35 83 64 60 84 67 62 24 77 | 93 32  7 12 84 24 94 43 65 44 17 45 38 62 80 95 77 26 73 28 91 57 60 55  4
Card  11:  9 95 29 15 88 33 58 49 83 45 | 31 38 55 62 86 60 21 97 74 53 94 19 40 50 77 26 63 43  3 52 85  8 73 35 42
Card  12: 54 33 34 57 29 64 40 30  3 11 | 78 86 92 70 91 93 32 79 12 13 97 63 28 66 77 85 51 36 35  3  4 23 30 11 42
Card  13: 16 49 93 29 96 23 64 57  3 42 | 56 11 53 20 72 67 26  5  4 63  8 70 97 52  6 81 62 80 12 98 33 35 77 84 58
Card  14: 20 32 49 55 63 74 33 51 66 40 | 43 29 70 48 61 13 96 73 67 27 15  6 46 56 45 30 97 76  1 77 12 26 39 78 42
Card  15: 65 67  7 43 83 36 24 46 16 29 | 76 12 69 27 26 71 84 11 22 86 33 63 50 49 14 40  6  4 47 34 90 21 19 74 97
Card  16: 78 43 11 21 53 35 86 85 27 68 | 98 43 53 66 52 62 21 91 81 69 93 76 73 86 17 31 27 40 85 12 68 83 65 36 71
Card  17: 52 55  3 69 20 96 57 67 10 38 | 91 16  3 30 52 34 78 71 55 36 48 89 79 20 37 69 67 57 18 68 46 10 25 38 96
Card  18: 23 46 90 44 85 19 49 30  8 43 | 72 34 75 48 74 33 88 41 78 65 98 60  3 19 26 63 69 83 89 21 66  5 37 53 58
Card  19: 69 24 83 60 59 45 51 74 93 34 | 45 83  1  8 28 60 27 38 81 36 69 24 73 90 88 59 93 16 98 34 74 48 10 61 51
Card  20: 41 83  4 44 28 90 16 69 86 88 |  7 41 28  4  5 73 97 30 70 88 69  2 38 55 86 60 14 83 16 90 15 49 78 44 27
Card  21: 41 61 99 59 48  8 26 92 19 85 | 35 17 49 14 94  6 29 43 55 88 63 26 13 53 66 67  8 32 18 24  7 70 86 96 38
Card  22: 57 29 37 75 42 88 68 67 92 18 |  8  6 54 77 75 18 68 26 67 87 92 31 72 29 37 21 42 17 88 93 84 57  9 63 66
Card  23: 70  3 75 17 64 68 53 45 23 10 | 27  7 59 68 97 72 64 30 61 29 86 45 63 53 17  3 44 87 23 75 70 10 15  4 43
Card  24: 89 81 36  9 73 27 31  8 77 11 | 14 71  9 87 47 39 26 29 24 74 42 58 17 51 19 68 32 46 52 78 64 12 35 45 72
Card  25: 82  3 92 95 29 14 52 41 15 98 | 21 17 51 55 77 34 72 59 78 30  5 58 92  4 85 15 91 75 26 53 25 94  7 90 22
