87|51
88|11
88|27
16|32
16|76
16|51
51|93
51|55
51|49
51|11
98|63
98|12
98|49
98|77
98|78
82|24
82|22
82|12
82|31
82|73
82|94
75|94
75|82
75|72
75|38
75|45
75|25
75|12
84|75
84|79
84|64
84|33
84|51
84|94
84|81
84|25
49|56
49|78
49|33
49|77
49|57
49|97
49|12
49|43
49|93
17|34
17|26
17|94
17|33
17|58
17|51
17|38
17|14
17|65
17|25
52|11
52|24
52|97
52|87
52|43
52|57
52|27
52|31
52|29
52|77
52|25
58|94
58|51
58|33
58|72
58|38
58|64
58|63
58|65
58|12
58|98
58|88
58|22
33|11
33|65
33|47
33|16
33|56
33|24
33|97
33|22
33|67
33|63
33|12
33|52
33|55
97|75
97|58
97|51
97|26
97|87
97|82
97|88
97|56
97|14
97|67
97|47
97|43
97|79
97|17
65|52
65|11
65|31
65|77
65|29
65|78
65|22
65|84
65|24
65|43
65|16
65|97
65|93
65|55
65|28
78|52
78|27
78|56
78|16
78|67
78|63
78|28
78|77
78|87
78|75
78|22
78|17
78|24
78|97
78|57
78|47
67|84
67|79
67|87
67|98
67|73
67|26
67|34
67|58
67|75
67|44
67|17
67|49
67|45
67|81
67|94
67|51
67|32
47|32
47|72
47|81
47|98
47|84
47|17
47|75
47|34
47|87
47|82
47|79
47|25
47|26
47|96
47|51
47|58
47|45
47|94
76|72
76|44
76|87
76|82
76|96
76|67
76|43
76|45
76|84
76|88
76|32
76|75
76|56
76|17
76|34
76|79
76|77
76|25
76|94
63|43
63|17
63|56
63|27
63|67
63|87
63|29
63|31
63|55
63|24
63|52
63|25
63|77
63|28
63|93
63|47
63|76
63|22
63|57
63|75
72|22
72|33
72|11
72|57
72|73
72|55
72|97
72|31
72|52
72|27
72|64
72|12
72|63
72|28
72|98
72|49
72|38
72|78
72|94
72|65
72|24
45|81
45|78
45|51
45|79
45|94
45|52
45|31
45|73
45|33
45|82
45|44
45|98
45|65
45|64
45|38
45|72
45|88
45|58
45|63
45|12
45|11
45|49
43|32
43|73
43|88
43|26
43|14
43|51
43|75
43|82
43|44
43|72
43|45
43|98
43|58
43|64
43|17
43|96
43|34
43|79
43|47
43|94
43|87
43|67
43|25
94|49
94|93
94|16
94|31
94|73
94|38
94|63
94|65
94|55
94|29
94|57
94|24
94|11
94|64
94|33
94|97
94|78
94|12
94|81
94|22
94|27
94|98
94|52
94|28
11|76
11|93
11|24
11|55
11|75
11|96
11|97
11|26
11|56
11|16
